year,serial,hwtsupp,region,statefip,county,ownershp,phone,month,pernum,wtsupp,famsize,nchild,nchlt5,eldch,age,sex,race,marst,educ,empstat,labforce,occ,ind,wkswork1,hrswork,incwage,poverty,vetstat,health,migsta1,whymove,migrate1
2012,44657,2124.4299,South Atlantic Division,Maryland,24033,Owned or being bought,"Yes, phone in household",March,2,2641.0601,2 family members present,0 children present,No children under age 5,NIU,46,Male,White,Divorced,High school diploma or equivalent,At work,"Yes, in the labor force",7630,4770,52 weeks,44 hours,55000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,60054,983.62,East South Central Division,Kentucky,0,With cash rent,"Yes, phone in household",March,3,1144.42,4 family members present,0 children present,No children under age 5,NIU,16,Male,White,Never married/single,Grades 7 or 8,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,125-149 percent of the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,37443,287.82999,West North Central Division,South Dakota,0,Owned or being bought,"Yes, phone in household",March,4,273.10001,5 family members present,0 children present,No children under age 5,NIU,13,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,48884,1275.51,South Atlantic Division,West Virginia,0,Owned or being bought,"Yes, phone in household",March,2,1275.51,2 family members present,0 children present,No children under age 5,NIU,59,Female,White,"Married, spouse present",Bachelor's degree,At work,"Yes, in the labor force",2310,7860,50 weeks,16 hours,18000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,71508,1909.67,West South Central Division,Texas,0,With cash rent,"Yes, phone in household",March,3,1939.22,4 family members present,0 children present,No children under age 5,NIU,17,Male,Black/Negro,Never married/single,Grade 11,At work,"Yes, in the labor force",4720,5270,NIU,16 hours,0,100-124 percent of the low-income level,No service,Excellent,Same house,NIU,Same house
2012,45321,337.70001,South Atlantic Division,District of Columbia,11001,Owned or being bought,"Yes, phone in household",March,2,337.70001,2 family members present,0 children present,No children under age 5,NIU,36,Male,Black/Negro,"Married, spouse present",Professional school degree,At work,"Yes, in the labor force",4700,4790,52 weeks,40 hours,60000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,53416,1598.98,South Atlantic Division,Georgia,0,With cash rent,"Yes, phone in household",March,3,1565.35,3 family members present,0 children present,No children under age 5,NIU,7,Male,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,125-149 percent of the low-income level,NIU,Very good,Same house,NIU,Same house
2012,68572,3051.5901,West South Central Division,Texas,0,Owned or being bought,"Yes, phone in household",March,1,3051.5901,1 family member present,0 children present,No children under age 5,NIU,71,Female,White,Widowed,Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,12358,2269.8601,Middle Atlantic Division,New York,36047,With cash rent,"Yes, phone in household",March,1,2269.8601,1 family member present,0 children present,No children under age 5,NIU,51,Male,Black/Negro,Never married/single,High school diploma or equivalent,"Unemployed, experienced worker","Yes, in the labor force",5850,6570,NIU,NIU,0,Below poverty,No service,Fair,Same house,NIU,Same house
2012,30463,858.28003,West North Central Division,Minnesota,0,Owned or being bought,"Yes, phone in household",March,1,858.28003,6 family members present,4,1 child under age 5,10,38,Female,White,"Married, spouse present","Associate's degree, occupational/vocational program","Has job, not at work last week","Yes, in the labor force",2910,7490,35 weeks,NIU,0,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,3248,239.47,New England Division,New Hampshire,0,Owned or being bought,"Yes, phone in household",March,2,239.47,3 family members present,1 child present,No children under age 5,17,51,Male,White,"Married, spouse present",Bachelor's degree,Not in labor force,"No, not in the labor force",0,0,20 weeks,NIU,0,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,96339,340.44,Pacific Division,Hawaii,15003,Owned or being bought,"Yes, phone in household",March,6,268.63,7 family members present,0 children present,No children under age 5,NIU,10,Male,Asian only,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,87926,1580.73,Pacific Division,California,6037,With cash rent,"Yes, phone in household",March,1,1580.73,3 family members present,1 child present,1 child under age 5,3,26,Male,White,"Married, spouse present","Associate's degree, occupational/vocational program",At work,"Yes, in the labor force",9130,8680,40 weeks,30 hours,9000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,19671,1721.54,East North Central Division,Ohio,0,Owned or being bought,"Yes, phone in household",March,1,1721.54,3 family members present,1 child present,No children under age 5,8,51,Male,White,"Married, spouse present",Grade 11,At work,"Yes, in the labor force",7700,2770,52 weeks,40 hours,55000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,25178,1607.62,East North Central Division,Illinois,0,Owned or being bought,"Yes, phone in household",March,1,1607.62,4 family members present,2,2,4,35,Female,White,"Married, spouse present",Master's degree,At work,"Yes, in the labor force",2310,7860,52 weeks,40 hours,41000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,79704,1499.49,Mountain Division,Arizona,4013,Owned or being bought,"Yes, phone in household",March,1,1499.49,3 family members present,1 child present,No children under age 5,37,64,Female,White,"Married, spouse present",Some college but no degree,At work,"Yes, in the labor force",4220,8190,50 weeks,40 hours,40000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,21665,3120.8401,East North Central Division,Ohio,39095,With cash rent,"Yes, phone in household",March,2,4162.7402,5 family members present,0 children present,No children under age 5,NIU,21,Male,White,Never married/single,Grade 11,At work,"Yes, in the labor force",8730,2490,20 weeks,40 hours,16000,150 percent and above the low-income level,No service,Excellent,Ohio,Other housing reason,"Moved within state, different county"
2012,42479,227.05,South Atlantic Division,Delaware,10003,Owned or being bought,"Yes, phone in household",March,2,227.05,3 family members present,0 children present,No children under age 5,NIU,42,Female,Black/Negro,"Married, spouse present",Bachelor's degree,At work,"Yes, in the labor force",3320,8190,52 weeks,40 hours,60000,150 percent and above the low-income level,No service,Fair,Same house,NIU,Same house
2012,4953,301.17999,New England Division,Vermont,0,Owned or being bought,"Yes, phone in household",March,2,301.17999,1 family member present,0 children present,No children under age 5,NIU,72,Female,White,Divorced,Bachelor's degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,15400,1294.24,Middle Atlantic Division,New Jersey,34019,Owned or being bought,"Yes, phone in household",March,3,1357.29,3 family members present,0 children present,No children under age 5,NIU,30,Female,White,Never married/single,Bachelor's degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,76058,1482.6899,Mountain Division,Colorado,0,Owned or being bought,"Yes, phone in household",March,2,1482.6899,2 family members present,0 children present,No children under age 5,NIU,51,Female,White,"Married, spouse present",Master's degree,At work,"Yes, in the labor force",120,6070,52 weeks,40 hours,125000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,79209,1967.23,Mountain Division,Arizona,0,Owned or being bought,"Yes, phone in household",March,5,1090.8,8 family members present,0 children present,No children under age 5,NIU,15,Male,White,Never married/single,Grade 9,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,31131,773.88,West North Central Division,Minnesota,27037,Owned or being bought,"Yes, phone in household",March,1,773.88,2 family members present,1 child present,No children under age 5,16,43,Male,White,Divorced,High school diploma or equivalent,At work,"Yes, in the labor force",7340,4890,52 weeks,36 hours,46550,150 percent and above the low-income level,Yes,Very good,Same house,NIU,Same house
2012,29314,1489.85,East North Central Division,Wisconsin,55063,Owned or being bought,"Yes, phone in household",March,3,1286.14,3 family members present,0 children present,No children under age 5,NIU,1,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Good,Same house,NIU,Same house
2012,28365,1885.67,East North Central Division,Michigan,26145,With cash rent,"Yes, phone in household",March,1,1885.67,2 family members present,1 child present,No children under age 5,30,46,Female,Black/Negro,Widowed,High school diploma or equivalent,"NILF, unable to work","No, not in the labor force",0,0,NIU,NIU,0,Below poverty,No service,Good,Same house,NIU,Same house
2012,59967,1126.9,East South Central Division,Kentucky,0,Owned or being bought,"Yes, phone in household",March,5,710.72998,5 family members present,0 children present,No children under age 5,NIU,11,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,86153,1411.75,Pacific Division,California,6025,Owned or being bought,"Yes, phone in household",March,4,1518.92,5 family members present,0 children present,No children under age 5,NIU,3,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,California,"Wanted to own home, not rent",Moved within county
2012,91099,1654.73,Pacific Division,California,6053,Owned or being bought,"No, no phone available",March,3,1408.95,10 family members present,0 children present,No children under age 5,NIU,5,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,100-124 percent of the low-income level,NIU,Good,Same house,NIU,Same house
2012,27607,1731.47,East North Central Division,Michigan,26163,Owned or being bought,"Yes, phone in household",March,4,2305.3899,5 family members present,0 children present,No children under age 5,NIU,14,Male,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,42268,180.14,South Atlantic Division,Delaware,10003,With cash rent,"Yes, phone in household",March,6,181.39,9 family members present,0 children present,No children under age 5,NIU,8,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Very good,Same house,NIU,Same house
2012,60021,1722.5601,East South Central Division,Kentucky,0,With cash rent,"Yes, phone in household",March,2,1793.5601,3 family members present,0 children present,No children under age 5,NIU,15,Male,White,Never married/single,Grades 7 or 8,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,NIU,Very good,Kentucky,Change in marital status,"Moved within state, different county"
2012,61438,1522.8199,East South Central Division,Tennessee,0,Owned or being bought,"Yes, phone in household",March,3,1441.9399,4 family members present,0 children present,No children under age 5,NIU,4,Female,White-Black,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Very good,Same house,NIU,Same house
2012,92121,1471.5601,Pacific Division,California,0,With cash rent,"Yes, phone in household",March,1,1471.5601,5 family members present,2,No children under age 5,26,53,Male,White,Never married/single,Grades 7 or 8,"Has job, not at work last week","Yes, in the labor force",6200,770,28 weeks,NIU,28000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,2326,272.39999,New England Division,New Hampshire,0,Owned or being bought,"Yes, phone in household",March,1,272.39999,5 family members present,3,No children under age 5,16,48,Female,White,"Married, spouse present",Master's degree,At work,"Yes, in the labor force",230,7870,52 weeks,20 hours,20000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,60462,1105.2,East South Central Division,Kentucky,0,Owned or being bought,"Yes, phone in household",March,2,872.17999,2 family members present,0 children present,No children under age 5,NIU,16,Male,White,Never married/single,Grade 9,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,Below poverty,NIU,Very good,Same house,NIU,Same house
2012,78528,1967.12,Mountain Division,New Mexico,35001,Owned or being bought,"Yes, phone in household",March,3,1295.97,3 family members present,0 children present,No children under age 5,NIU,3,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,125-149 percent of the low-income level,NIU,Very good,Same house,NIU,Same house
2012,53598,3529.0701,South Atlantic Division,Georgia,13057,Owned or being bought,"Yes, phone in household",March,2,3529.0701,2 family members present,0 children present,No children under age 5,NIU,55,Female,White,"Married, spouse present","Associate's degree, academic program",Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,26937,2756.22,East North Central Division,Michigan,26125,Owned or being bought,"Yes, phone in household",March,3,4950.1699,3 family members present,0 children present,No children under age 5,NIU,24,Male,White,Never married/single,"Associate's degree, academic program",At work,"Yes, in the labor force",4020,8680,52 weeks,32 hours,18000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,34466,1230.66,West North Central Division,Missouri,0,Owned or being bought,"Yes, phone in household",March,2,1230.66,4 family members present,2,1 child under age 5,6,37,Male,White,"Married, spouse present",Some college but no degree,At work,"Yes, in the labor force",1010,7380,52 weeks,50 hours,70000,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,36178,384.67001,West North Central Division,North Dakota,0,With cash rent,"Yes, phone in household",March,1,384.67001,1 family member present,0 children present,No children under age 5,NIU,34,Male,White,Never married/single,Some college but no degree,"Has job, not at work last week","Yes, in the labor force",6050,170,40 weeks,NIU,34000,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,23028,2899,East North Central Division,Indiana,0,Owned or being bought,"Yes, phone in household",March,1,2899,3 family members present,1 child present,No children under age 5,58,73,Male,White,"Married, spouse present","12th grade, no diploma",Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Poor,Same house,NIU,Same house
2012,82719,451.20999,Mountain Division,Nevada,0,With cash rent,"Yes, phone in household",March,4,407.64001,4 family members present,0 children present,No children under age 5,NIU,7,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Good,Same house,NIU,Same house
2012,76127,628.42999,Mountain Division,Colorado,0,Owned or being bought,"Yes, phone in household",March,2,628.42999,4 family members present,2,No children under age 5,17,39,Female,White,"Married, spouse present",Some college but no degree,At work,"Yes, in the labor force",3645,8190,52 weeks,40 hours,30000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,53119,2918.6101,South Atlantic Division,Georgia,0,Owned or being bought,"Yes, phone in household",March,3,2976.3,7 family members present,0 children present,No children under age 5,NIU,13,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,100-124 percent of the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,88576,1528.01,Pacific Division,California,6059,Owned or being bought,"Yes, phone in household",March,1,1528.01,4 family members present,2,2,4,35,Female,White,"Married, spouse present",Some college but no degree,At work,"Yes, in the labor force",4700,5070,52 weeks,45 hours,60000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,88435,1242.85,Pacific Division,California,6037,Owned or being bought,"Yes, phone in household",March,2,1242.85,4 family members present,2,No children under age 5,18,57,Male,White,"Married, spouse present",Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Fair,Same house,NIU,Same house
2012,88438,1376.8,Pacific Division,California,6037,Owned or being bought,"Yes, phone in household",March,3,1376.8,1 family member present,0 children present,No children under age 5,NIU,43,Male,White,Never married/single,High school diploma or equivalent,At work,"Yes, in the labor force",8930,1890,52 weeks,40 hours,30000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,29857,1977.7,East North Central Division,Wisconsin,0,Owned or being bought,"Yes, phone in household",March,1,1977.7,1 family member present,0 children present,No children under age 5,NIU,63,Female,White,Widowed,Bachelor's degree,Not in labor force,"No, not in the labor force",0,0,26 weeks,NIU,27079,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,8636,1190,New England Division,Connecticut,0,No cash rent,"Yes, phone in household",March,1,1190,1 family member present,0 children present,No children under age 5,NIU,52,Female,White,Never married/single,High school diploma or equivalent,"Unemployed, experienced worker","Yes, in the labor force",8220,2370,NIU,NIU,0,Below poverty,No service,Fair,Same house,NIU,Same house
2012,30134,1997.09,East North Central Division,Wisconsin,55073,Owned or being bought,"Yes, phone in household",March,3,2259.46,5 family members present,0 children present,No children under age 5,NIU,28,Female,White,Never married/single,Some college but no degree,"Unemployed, experienced worker","Yes, in the labor force",5810,570,36 weeks,NIU,8000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,5881,2746.3799,New England Division,Massachusetts,0,Owned or being bought,"Yes, phone in household",March,3,3902.8,4 family members present,0 children present,No children under age 5,NIU,26,Male,White,Never married/single,Grade 10,At work,"Yes, in the labor force",8000,2570,40 weeks,24 hours,24000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,64905,1713.76,West South Central Division,Arkansas,0,Owned or being bought,"Yes, phone in household",March,1,1713.76,2 family members present,0 children present,No children under age 5,NIU,45,Female,White,"Married, spouse present",Bachelor's degree,At work,"Yes, in the labor force",1550,3490,51 weeks,42 hours,50000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,83879,1334.66,Pacific Division,Washington,53033,With cash rent,"Yes, phone in household",March,2,1437.91,4 family members present,0 children present,No children under age 5,NIU,9,Male,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Excellent,Same house,NIU,Same house
2012,67882,1734.89,West South Central Division,Texas,0,Owned or being bought,"Yes, phone in household",March,3,1969.49,5 family members present,0 children present,No children under age 5,NIU,16,Female,White,Never married/single,Grade 9,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,125-149 percent of the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,19413,5641.9702,Middle Atlantic Division,Pennsylvania,42133,With cash rent,"Yes, phone in household",March,2,3958.8899,2 family members present,0 children present,No children under age 5,NIU,Under 1 year,Female,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Very good,NIU,NIU,NIU
